"Date","AEX_disc_return","Portfolio_disc_return","MSCI_disc_return","Date.y","new_cases_per_million","reproduction_rate","dMonday","dPeriod","AEX_cont_return","Portfolio_cont_return","MSCI_cont_return"
2020-11-13,-0.529955837013574,-0.108616914367822,0.764983702521105,2020-11-12,330.75,0.8,0,0,-0.531365084089333,-0.108675945287168,0.762072539385106
2020-11-16,0.804195218389256,5.23993358011341,1.26914444151044,2020-11-15,317.939,0.84,1,0,0.800978801317292,5.10726390560307,1.2611583028823
2020-11-17,-0.121328967706534,0.879655970874849,-0.122227473476638,2020-11-16,283.933,0.85,0,0,-0.121402630887772,0.875809538197709,-0.122302232176328
2020-11-18,-0.0099843578393948,1.03694311067743,-0.448715856802532,2020-11-17,254.351,0.86,0,0,-0.00998485630958574,1.03160373474396,-0.449725608145058
2020-11-19,-0.81047796565038,-2.50642378344914,0.026224779138183,2020-11-18,273.393,0.88,0,0,-0.81378019296745,-2.53836951132518,0.0262213410440552
2020-11-20,0.941259374842706,-1.0374575212035,-0.122896422894784,2020-11-19,334.302,0.91,0,0,0.936857131580716,-1.04287662492874,-0.122972002477997
2020-11-23,-0.04155446959875,2.00553987389128,0.356017850111575,2020-11-22,318.696,0.94,1,0,-0.041563105861051,1.98569383104402,0.355385606718777
2020-11-24,1.0126876964265,4.22480337074724,1.4353675881574,2020-11-23,303.265,0.93,0,0,1.00759437202396,4.13799511926504,1.42516371375466
2020-11-25,-0.176143285154586,0.191827463100588,0.00322336293454668,2020-11-24,233.039,0.92,0,0,-0.176298599850177,0.191643709178713,0.00322331098531903
2020-11-26,0.164910371213246,-1.11578490730045,0.133765250044326,2020-11-25,294.298,0.92,0,0,0.16477454336954,-1.12205648225937,0.13367586403645
2020-11-27,0.704654340703662,-1.95916902805877,0.392712289963294,2020-11-26,268.152,0.91,0,0,0.702183253628092,-1.97861515181056,0.391943188163793
2020-11-30,-0.923700688279624,-3.14545424107031,-0.880146210080802,2020-11-29,331.74,0.97,1,0,-0.927993257194508,-3.19598611608688,-0.884042374981773
2020-12-01,0.889409590442557,2.18144145681122,1.07396444918886,2020-11-30,267.511,0.98,0,0,0.885477640241162,2.15798848498117,1.06823841158792
2020-12-02,-0.0768714937603104,0.334420116226212,0.214430878046444,2020-12-01,244.51,1.01,0,0,-0.0769010550435132,0.333862175719689,0.214201303166856
2020-12-03,-0.0752938095394042,1.41288197340965,0.359281437125749,2020-12-02,297.5,1.04,0,0,-0.0753221695646313,1.4029938257833,0.358637563122765
2020-12-04,0.850150701087659,2.13107516701468,0.730310262529838,2020-12-03,334.477,1.07,0,0,0.846557272026081,2.10868529822681,0.727656410202908
2020-12-07,0.0860850780450707,-1.20409965642086,-0.0995119177368139,2020-12-06,402.49,1.2,1,0,0.0860480460928843,-1.21140765933765,-0.0995614637178392
2020-12-08,0.0632911392405041,-1.41189340578636,0.21345223413337,2020-12-07,414.719,1.23,0,0,0.0632711188459533,-1.42195544317517,0.213224748509992
