"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 17, 2020","30.30","30.30","30.50","30.05","9.20K","-0.33%"
"Aug 14, 2020","30.40","30.50","30.60","30.00","13.60K","0.16%"
"Aug 13, 2020","30.35","30.65","30.85","30.35","8.11K","0.00%"
"Aug 12, 2020","30.35","31.15","31.20","30.35","18.79K","-2.25%"
"Aug 11, 2020","31.05","30.65","32.00","30.65","33.52K","1.47%"
"Aug 10, 2020","30.60","30.65","31.10","29.85","38.51K","0.33%"
"Aug 07, 2020","30.50","31.00","31.10","30.50","23.70K","-1.61%"
"Aug 06, 2020","31.00","31.45","31.45","30.55","21.26K","-0.96%"
"Aug 05, 2020","31.30","30.30","31.30","30.30","27.27K","2.12%"
"Aug 04, 2020","30.65","30.90","31.10","30.20","19.75K","-0.49%"
"Aug 03, 2020","30.80","30.25","30.85","29.85","27.81K","1.65%"
"Jul 31, 2020","30.30","30.15","31.25","30.15","29.71K","0.50%"
"Jul 30, 2020","30.15","30.05","30.20","29.85","26.50K","0.50%"
"Jul 29, 2020","30.00","30.20","30.35","29.70","34.43K","0.50%"
"Jul 28, 2020","29.85","29.80","30.40","29.75","24.46K","0.00%"
"Jul 27, 2020","29.85","31.25","31.25","29.85","19.75K","-3.86%"
"Jul 24, 2020","31.05","31.10","31.20","30.85","11.85K","-0.16%"
"Jul 23, 2020","31.10","32.20","32.20","31.10","45.21K","-2.96%"
"Jul 22, 2020","32.05","32.50","32.50","31.70","20.36K","-0.31%"
"Jul 21, 2020","32.15","32.45","32.85","31.95","34.68K","-0.31%"
"Jul 20, 2020","32.25","31.80","32.45","31.55","27.32K","2.22%"
"Jul 17, 2020","31.55","33.05","33.05","31.05","48.64K","-4.25%"
"Jul 16, 2020","32.95","33.30","34.00","32.95","29.26K","-0.45%"
"Jul 15, 2020","33.10","33.40","33.50","33.05","20.64K","-2.93%"
"Jul 14, 2020","34.10","34.95","34.95","33.50","30.05K","1.19%"
"Jul 13, 2020","33.70","35.00","35.15","33.60","36.77K","-0.30%"
"Jul 10, 2020","33.80","33.35","33.90","33.30","16.37K","1.50%"
"Jul 09, 2020","33.30","33.95","33.95","33.30","15.27K","-2.63%"
"Jul 08, 2020","34.20","34.50","34.50","33.75","20.42K","-0.58%"
"Jul 07, 2020","34.40","34.45","34.55","34.10","15.08K","-1.15%"
"Jul 06, 2020","34.80","34.45","34.90","34.40","17.74K","1.31%"
"Jul 03, 2020","34.35","34.30","34.60","34.10","10.06K","-1.01%"
"Jul 02, 2020","34.70","35.05","35.40","34.20","25.25K","-0.86%"
"Jul 01, 2020","35.00","34.35","35.35","34.00","31.59K","1.60%"
"Jun 30, 2020","34.45","34.25","34.55","33.50","40.63K","2.07%"
"Jun 29, 2020","33.75","34.00","34.50","33.65","21.43K","-1.75%"
"Jun 26, 2020","34.35","34.70","34.70","33.40","34.32K","-0.58%"
"Jun 25, 2020","34.55","34.80","35.00","34.00","21.11K","-0.72%"
"Jun 24, 2020","34.80","35.00","35.00","34.40","15.89K","-0.14%"
"Jun 23, 2020","34.85","35.20","35.50","34.85","17.15K","-0.99%"
"Jun 22, 2020","35.20","35.70","35.95","35.10","16.98K","-1.81%"
"Jun 19, 2020","35.85","35.80","36.10","35.40","40.53K","-0.83%"
"Jun 18, 2020","36.15","36.20","36.20","35.40","22.29K","0.28%"
"Jun 17, 2020","36.05","35.95","37.40","35.90","19.69K","-0.55%"
"Jun 16, 2020","36.25","37.00","37.75","35.80","35.04K","-0.55%"
"Jun 15, 2020","36.45","36.15","36.90","35.70","26.39K","-0.41%"
"Jun 12, 2020","36.60","36.05","37.15","35.75","33.62K","1.39%"
"Jun 11, 2020","36.10","37.00","37.00","35.55","25.45K","-1.63%"
"Jun 10, 2020","36.70","36.75","37.10","36.45","24.35K","0.27%"
"Jun 09, 2020","36.60","37.00","37.20","36.00","51.96K","-0.54%"
"Jun 08, 2020","36.80","36.55","37.20","36.00","32.16K","0.82%"
"Jun 05, 2020","36.50","35.75","37.20","35.75","20.34K","1.96%"
"Jun 04, 2020","35.80","35.75","36.05","35.05","40.19K","0.42%"
"Jun 03, 2020","35.65","35.30","35.65","35.15","27.45K","0.71%"
"Jun 02, 2020","35.40","35.00","36.00","35.00","23.75K","1.43%"
"Jun 01, 2020","34.90","34.05","35.00","34.05","20.22K","2.20%"
"May 29, 2020","34.15","33.80","34.15","33.30","37.56K","0.44%"
"May 28, 2020","34.00","33.50","34.20","33.50","16.65K","1.34%"
"May 27, 2020","33.55","33.65","33.90","33.05","21.81K","1.05%"
"May 26, 2020","33.20","33.35","33.70","32.15","48.30K","0.91%"
"May 25, 2020","32.90","32.50","33.30","32.50","13.42K","1.39%"
"May 22, 2020","32.45","32.50","32.90","32.05","12.69K","0.00%"
"May 21, 2020","32.45","32.10","32.45","31.60","44.59K","0.93%"
"May 20, 2020","32.15","33.55","33.55","32.10","42.46K","-4.74%"
"May 19, 2020","33.75","33.45","33.90","33.00","34.78K","2.12%"
"May 18, 2020","33.05","31.80","33.50","31.80","48.66K","3.93%"
"May 15, 2020","31.80","31.90","32.25","31.60","34.39K","0.00%"
"May 14, 2020","31.80","32.35","32.35","31.10","33.41K","-1.40%"
"May 13, 2020","32.25","31.45","32.65","31.45","46.37K","-0.62%"
"May 12, 2020","32.45","33.45","33.65","32.30","32.82K","-2.84%"
"May 11, 2020","33.40","35.00","35.00","33.40","25.19K","-3.05%"
"May 08, 2020","34.45","34.60","35.00","34.30","12.47K","0.58%"
"May 07, 2020","34.25","34.20","35.15","33.85","24.25K","0.74%"
"May 06, 2020","34.00","34.85","35.05","33.70","35.06K","-2.16%"
"May 05, 2020","34.75","35.35","35.50","34.25","19.98K","-0.86%"
"May 04, 2020","35.05","36.40","36.40","34.85","37.35K","-4.50%"
"Apr 30, 2020","36.70","35.90","37.30","35.65","53.95K","2.80%"
"Apr 29, 2020","35.70","35.70","36.30","35.20","43.94K","2.00%"
"Apr 28, 2020","35.00","36.30","36.45","35.00","40.30K","-2.78%"
"Apr 27, 2020","36.00","36.40","36.80","35.35","63.99K","-0.69%"
"Apr 24, 2020","36.25","36.70","37.20","35.85","50.40K","-0.55%"
"Apr 23, 2020","36.45","36.50","36.75","35.60","32.01K","1.25%"
